Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Planning Address,APN(s),Supervisor District,Planning Neighborhood,City Analysis Neighborhood,Lead Agency,Program Area,Project Type,Housing Tenure,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,DBI Permit Number,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Recording Number,Recording Date,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,20% AMI,30% AMI,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,120% AMI,150% AMI,Latitude,Longitude,Location
2010-002,(5) First Construction Document Issued,John Burton Foundation Housing Complex (Booker T Washington),800,Presidio,Ave,94115,"800 PRESIDIO AV, SAN FRANCISCO, CA 94115",1073013,5,Western Addition,Presidio Heights,MOHCD,Multifamily,New Construction,Rental,09/08/2015,06/20/2014,,06/12/2017,John Stewart Company,Booker T Washington,"BTW Housing Partners, LP","201204168406, 201510149589",2006.0868,http://propertymap.sfplanning.org/?search=2006.0868,"2006.0868C,2006.0868C_3,2006.0868E,2006.0868E_3,2006.0868E_5,2006.0868K,2006.0868Q,2006.0868T,2006.0868Z",04/28/2011,,,,50,49,1,98%,0,48,0,1,0,0,0,0,1,2bd,24,0,25,0,0,0,0,37,0,12,0,0,0,0,0,37.784109018160798,-122.445778739796,"(37.7841090181608, -122.445778739796)"
2010-003,(2) Predevelopment Feasibility,Casa de la Mision,3001,24th ,St,94110,Planning address not yet assigned,6522064,9,Mission,Mission,MOHCD,Multifamily,New Construction,Rental,06/01/2017,,,12/01/2019,Mercy Housing California,Mission Neighborhood Centers,Mercy Housing California 59,,Not Yet Available,,,,,,,50,49,1,98%,0,49,0,0,0,0,0,0,1,1bd,0,49,0,0,0,0,0,0,0,49,0,0,0,0,0,37.752439671283497,-122.412199452168,"(37.7524396712835, -122.412199452168)"
2010-004,(5) First Construction Document Issued,Mission Bay South Block 7 West,588,Mission Bay Blvd North,,94158,Not Applicable,8711226,6,South of Market,Mission Bay,OCII,Mission Bay,New Construction,Rental,06/01/2015,,,02/01/2017,Related California,Chinatown Community Development Center,"Mission Bay Block 7 Housing Partners, LP",201404042522,Not Applicable,,,,,,,200,198,2,99%,0,0,70,128,0,0,0,0,2,"1bd, 1bd",198,0,0,0,0,0,0,40,0,158,0,0,0,0,0,37.771471844071797,-122.39061163063801,"(37.7714718440718, -122.390611630638)"
2010-005,(2) Predevelopment Feasibility,Balboa Park Upper Yard,,Address not yet assigned,,94112,Planning address not yet assigned,6973039,11,Ocean View,Outer Mission,MOHCD,Multifamily,New Construction,Rental,10/01/2017,,,10/01/2019,Related California,Mission Housing Development Corporation,Entity to be formed,,Not Yet Available,,,,,,,88,87,1,99%,0,0,0,0,0,0,0,0,1,,70,0,0,17,0,0,0,0,0,87,0,0,0,0,0,37.720294331776003,-122.447278135803,"(37.720294331776, -122.447278135803)"
2011-002,(5) First Construction Document Issued,Arc Mercy (1500 Page),1099,Masonic,Ave,94117,"1500 PAGE ST, SAN FRANCISCO, CA 94117",1223004,5,Haight Ashbury,Haight Ashbury,MOHCD,Multifamily,Adaptive Reuse,Rental,12/01/2014,,,12/15/2016,Mercy Housing California,,"Mercy Housing California 57, LP",201312023084,2012.0258,http://propertymap.sfplanning.org/?search=2012.0258,"2012.0258C,2012.0258E,2012.0258T,2012.0258U,2012.0258V,2012.0258Z",02/14/2014,,DOC-2015-K145760-00,10/16/2015,17,16,1,94%,0,16,0,0,0,0,0,0,1,1bd,0,0,0,0,16,0,0,16,0,0,0,0,0,0,0,37.771258930534898,-122.44591931446,"(37.7712589305349, -122.44591931446)"
2011-003,(1) Preliminary Phase,801 Brannan (Land Dedication Site),801,Brannan,St,94103,Planning address not yet assigned,3783001,6,South of Market,South of Market,MOHCD,Multifamily,New Construction,Rental,,,,,Developer not yet selected,,Developer not yet selected,,Not Yet Available,,,,,,,150,149,1,99%,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.771823862312097,-122.403882620197,"(37.7718238623121, -122.403882620197)"
2011-004,(3) Design with Entitlements Approved,Park Merced - Phase IA & 1B,3711,19th,Ave,94132,"0 V, SAN FRANCISCO, CA",7303001,7,Lakeshore,Lakeshore,MOHCD,Inclusionary,New Construction,Unknown,,12/22/2014,,,Maximus,,,,2008.0021,http://propertymap.sfplanning.org/?search=2008.0021,"2008.0021C,2008.0021E,2008.0021E_11,2008.0021E_3,2008.0021E_5,2008.0021E_7,2008.0021E_9,2008.0021K,2008.0021M,2008.0021P,2008.0021T,2008.0021U,2008.0021U_3,2008.0021W,2008.0021Z",02/10/2011,Combination Project,,,901,45,856,5%,0,0,0,0,0,0,0,0,0,,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.717010013517999,-122.478923092808,"(37.717010013518, -122.478923092808)"
2011-005,(5) First Construction Document Issued,1255-1275 Columbus,1255-1275 ,Columbus,Ave,94133,"1255 COLUMBUS AVE AV, SAN FRANCISCO, CA 94133",0028014,2,Russian Hill,Russian Hill,MOHCD,Inclusionary,New Construction,Unknown,12/07/2016,04/22/2014,12/07/2016,05/31/2018,,,,201306149565,2008.0723,http://propertymap.sfplanning.org/?search=2008.0723,"2008.0723E,2008.0723E_3,2008.0723E_4,2008.0723V",06/08/2011,Fee Payment ,2014-J864968,04/17/2014,20,0,20,0%,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.805603741942299,-122.41823873958499,"(37.8056037419423, -122.418238739585)"
2011-008,(5) First Construction Document Issued,Potrero 1010,1000,16th,St,94107,"1380 07TH ST, SAN FRANCISCO, CA 94107",3833001,10,South of Market,Mission Bay,MOHCD,Inclusionary,New Construction,Rental,,09/07/2012,03/20/2014,09/11/2015,EQR,,,"200005180401, 201112070227, 201112070234, 201604043904",2003.0527,http://propertymap.sfplanning.org/?search=2003.0527,"2003.0527E,2003.0527E_3,2003.0527K,2003.0527K_3,2003.0527R,2003.0527S,2003.0527U,2003.0527X",07/28/2011,On-site BMR Project ,2013-J733193,08/21/2013,453,91,362,20%,0,0,0,0,0,0,0,0,0,,91,0,0,0,0,0,0,0,91,0,0,0,0,0,0,37.7669507136129,-122.396895419712,"(37.7669507136129, -122.396895419712)"
2011-009,(5) First Construction Document Issued,Hunters View Phase IIA- 7a,140,Middle Point,Rd,94124,"0 SITUS TO BE ASSIGNED, SAN FRANCISCO, CA 94124",4624051,10,Bayview,Bayview Hunters Point,MOHCD/OCII,HOPE SF,New Construction,Rental,01/01/2015,11/03/2014,,08/30/2016,John Stewart Company,Devine & Gong/Ridgepoint,"HV Partners2, LP",,2009.1075,http://propertymap.sfplanning.org/?search=2009.1075,2009.1075F,06/12/2008,,,,28,28,0,100%,0,0,12,8,8,0,0,0,0,,28,0,0,0,0,0,0,0,0,0,28,0,0,0,0,37.7357848207348,-122.379773930147,"(37.7357848207348, -122.379773930147)"
2011-010,(5) First Construction Document Issued,Hunters View Phase IIA-7b,120,Middle Point,Rd,94124,"0 SITUS TO BE ASSIGNED, SAN FRANCISCO, CA 94124",4624051,10,Bayview,Bayview Hunters Point,MOHCD/OCII,HOPE SF,New Construction,Rental,01/01/2015,11/03/2014,,08/30/2016,John Stewart Company,Devine & Gong/Ridgepoint,"HV Partners2, LP",,2009.1075,http://propertymap.sfplanning.org/?search=2009.1075,2009.1075F,06/12/2008,,,,7,7,0,100%,0,0,0,0,5,2,0,0,0,,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,37.7357848207348,-122.379773930147,"(37.7357848207348, -122.379773930147)"
2011-011,(5) First Construction Document Issued,Hunters View Phase IIA-7c,110,Middle Point,Rd,94124,"0 SITUS TO BE ASSIGNED, SAN FRANCISCO, CA 94124",4624051,10,Bayview,Bayview Hunters Point,MOHCD/OCII,HOPE SF,New Construction,Rental,01/01/2015,11/03/2014,,08/30/2016,John Stewart Company,Devine & Gong/Ridgepoint,"HV Partners2, LP",,2009.1075,http://propertymap.sfplanning.org/?search=2009.1075,2009.1075F,06/12/2008,,,,8,8,0,100%,0,0,0,0,4,4,0,0,0,,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,37.7357848207348,-122.379773930147,"(37.7357848207348, -122.379773930147)"
2011-012,(5) First Construction Document Issued,Hunters View Phase IIA-7d,112,West Point,Rd,94124,"0 SITUS TO BE ASSIGNED, SAN FRANCISCO, CA 94124",4624051,10,Bayview,Bayview Hunters Point,MOHCD/OCII,HOPE SF,New Construction,Rental,01/01/2015,11/03/2014,,08/30/2016,John Stewart Company,Devine & Gong/Ridgepoint,"HV Partners2, LP",,2009.1075,http://propertymap.sfplanning.org/?search=2009.1075,2009.1075F,06/12/2008,,,,7,7,0,100%,0,0,0,0,5,2,0,0,0,,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,37.7357848207348,-122.379773930147,"(37.7357848207348, -122.379773930147)"
2011-013,(5) First Construction Document Issued,Hunters View Phase IIA-11e,148,Middle Point,Rd,94124,"0 SITUS TO BE ASSIGNED, SAN FRANCISCO, CA 94124",4624052,10,Bayview,Bayview Hunters Point,MOHCD/OCII,HOPE SF,New Construction,Rental,01/01/2015,11/03/2014,,08/30/2016,John Stewart Company,Devine & Gong/Ridgepoint,"HV Partners2, LP",,2009.1075,http://propertymap.sfplanning.org/?search=2009.1075,2009.1075F,06/12/2008,,,,7,7,0,100%,0,0,0,0,4,2,1,0,0,,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,37.734806529982002,-122.379770061103,"(37.734806529982, -122.379770061103)"
2011-014,(5) First Construction Document Issued,Hunters View Phase IIA-11f,142,West Point,Rd,94124,"0 SITUS TO BE ASSIGNED, SAN FRANCISCO, CA 94124",4624052,10,Bayview,Bayview Hunters Point,MOHCD/OCII,HOPE SF,New Construction,Rental,01/01/2015,11/03/2014,,08/30/2016,John Stewart Company,Devine & Gong/Ridgepoint,"HV Partners2, LP",,2009.1075,http://propertymap.sfplanning.org/?search=2009.1075,2009.1075F,06/12/2008,,,,50,49,1,98%,0,0,18,23,8,0,0,0,1,2bd,49,0,0,0,0,0,0,26,0,0,23,0,0,0,0,37.734806529982002,-122.379770061103,"(37.734806529982, -122.379770061103)"
